Date,Time,Open Price,Close Price,High Price,Low Price,Volume,Number of Trades,RSI,Pivot Point,S1,R1,S2,R2
30-07-24,1722371940007,0.12526,0.12533,0.12534,0.12525,1086212.00000000,262,,,,,,
30-07-24,1722372000007,0.12532,0.12534,0.12535,0.12531,126391.00000000,108,,,,,,
30-07-24,1722372060006,0.12533,0.12541,0.12545,0.12529,623271.00000000,337,,,,,,
30-07-24,1722372120007,0.12541,0.12558,0.12558,0.12541,490758.00000000,354,,,,,,
30-07-24,1722372180005,0.12559,0.12548,0.12567,0.12547,1374929.00000000,584,,,,,,
30-07-24,1722372240006,0.12549,0.12539,0.12549,0.12538,204174.00000000,185,,,,,,
30-07-24,1722372300010,0.12539,0.12545,0.12548,0.12538,212460.00000000,217,,,,,,
30-07-24,1722372360005,0.12546,0.12538,0.12548,0.12533,335892.00000000,343,,,,,,
30-07-24,1722372420005,0.12538,0.12552,0.12554,0.12538,113797.00000000,225,,,,,,
30-07-24,1722372480007,0.12553,0.12547,0.12556,0.12542,72699.00000000,177,,,,,,
30-07-24,1722372540005,0.12547,0.12548,0.1255,0.12543,30681.00000000,122,,,,,,
30-07-24,1722372600007,0.12549,0.12554,0.12557,0.12548,97158.00000000,172,,,,,,
30-07-24,1722372660007,0.12553,0.12553,0.12557,0.12546,385880.00000000,251,,,,,,
30-07-24,1722372720005,0.12553,0.12542,0.12553,0.12538,313737.00000000,225,,,,,,
30-07-24,1722372780005,0.12543,0.12543,0.12556,0.12541,714294.00000000,262,54.736842105263335,0.12545000000000003,0.12523000000000006,0.12565000000000007,0.12503000000000003,0.12587000000000004
30-07-24,1722372840007,0.12543,0.1254,0.12546,0.1254,58487.00000000,108,54.736842105263335,0.12545333333333333,0.12523666666666666,0.12561666666666665,0.12507333333333334,0.12583333333333332
30-07-24,1722372900007,0.12541,0.1254,0.12547,0.12538,312555.00000000,155,49.45054945055046,0.12545333333333333,0.12523666666666666,0.12561666666666665,0.12507333333333334,0.12583333333333332
30-07-24,1722372960005,0.1254,0.12551,0.12552,0.12539,197407.00000000,183,37.837837837839565,0.12550333333333333,0.12533666666666665,0.12567666666666666,0.12516333333333332,0.12584333333333333
30-07-24,1722373020007,0.12551,0.12546,0.12556,0.12546,39495.00000000,64,52.0,0.12548666666666666,0.12530333333333332,0.12564333333333333,0.12514666666666666,0.12582666666666667
30-07-24,1722373080005,0.12546,0.12549,0.12555,0.12546,47707.00000000,135,54.92957746478731,0.12546333333333334,0.1253566666666667,0.1255966666666667,0.12522333333333335,0.12570333333333333
30-07-24,1722373140006,0.12549,0.12555,0.12556,0.12548,69407.00000000,108,52.9411764705868,0.12548333333333334,0.12539666666666668,0.12563666666666667,0.12524333333333335,0.12572333333333333
30-07-24,1722373200012,0.12555,0.12557,0.12564,0.12552,134066.00000000,201,62.68656716417824,0.12551333333333334,0.12538666666666667,0.12569666666666668,0.12520333333333333,0.12582333333333334
30-07-24,1722373260005,0.12556,0.12546,0.12556,0.12545,530660.00000000,131,54.54545454545363,0.12549333333333335,0.1253466666666667,0.1256066666666667,0.12523333333333334,0.12575333333333336
30-07-24,1722373320005,0.12547,0.12539,0.12556,0.12538,90879.00000000,162,49.18032786885171,0.12547,0.1253,0.12556,0.12521,0.12573
30-07-24,1722373380007,0.12538,0.12539,0.12547,0.12536,25358.00000000,113,43.28358208955205,0.12546333333333334,0.12528666666666669,0.1255666666666667,0.12518333333333334,0.12574333333333335
30-07-24,1722373440006,0.12541,0.12528,0.12541,0.12527,50469.00000000,171,37.70491803278651,0.12539666666666666,0.1251533333333333,0.12552333333333332,0.12502666666666665,0.12576666666666667
30-07-24,1722373500007,0.12529,0.12529,0.12532,0.12522,279069.00000000,236,32.39436619718347,0.12538333333333332,0.12512666666666664,0.12554666666666664,0.12496333333333332,0.12580333333333332
30-07-24,1722373560007,0.12531,0.12521,0.12531,0.12509,258414.00000000,281,39.34426229508316,0.12531333333333333,0.12498666666666666,0.12553666666666666,0.12476333333333334,0.12586333333333333
30-07-24,1722373620006,0.1252,0.12521,0.12522,0.12511,91349.00000000,198,33.823529411763815,0.12531333333333333,0.12498666666666666,0.12553666666666666,0.12476333333333334,0.12586333333333333
30-07-24,1722373680006,0.12522,0.12517,0.12527,0.12517,199504.00000000,149,35.38461538461446,0.1253,0.12495999999999999,0.12550999999999998,0.12475,0.12585
30-07-24,1722373740007,0.12517,0.12518,0.12518,0.12507,198868.00000000,131,33.33333333333333,0.12529666666666667,0.12495333333333333,0.12552333333333335,0.12472666666666665,0.12586666666666668
30-07-24,1722373800007,0.12518,0.12511,0.1253,0.12511,210575.00000000,249,22.03389830508665,0.12527333333333332,0.12490666666666664,0.12547666666666665,0.1247033333333333,0.12584333333333333
30-07-24,1722373860005,0.1251,0.12505,0.12512,0.12501,145360.00000000,199,21.311475409838238,0.12523333333333334,0.12482666666666667,0.12545666666666666,0.12460333333333334,0.12586333333333333
30-07-24,1722373920007,0.12505,0.12486,0.12506,0.12485,300797.00000000,254,15.62500000000189,0.12511666666666665,0.1245933333333333,0.1253833333333333,0.12432666666666665,0.12590666666666667
30-07-24,1722373980005,0.12488,0.12487,0.12491,0.12482,414705.00000000,316,5.194805194806648,0.12511,0.12458,0.1254,0.12429,0.12593
30-07-24,1722374040005,0.12487,0.125,0.125,0.12487,352494.00000000,165,3.947368421054634,0.12515333333333334,0.12466666666666668,0.1254866666666667,0.12433333333333334,0.12597333333333333
30-07-24,1722374100009,0.125,0.12492,0.125,0.12488,261419.00000000,154,20.51282051282243,0.1251,0.12463999999999997,0.12538,0.12435999999999998,0.12584
30-07-24,1722374160005,0.12492,0.12496,0.12497,0.12473,239669.00000000,322,20.253164556963682,0.12508333333333335,0.1246066666666667,0.1254366666666667,0.12425333333333334,0.12591333333333338
30-07-24,1722374220005,0.12497,0.12492,0.12504,0.12492,91854.00000000,207,24.096385542169898,0.12504,0.12461000000000003,0.12535000000000002,0.12430000000000001,0.12578
30-07-24,1722374280008,0.1249,0.12498,0.12498,0.12478,93438.00000000,217,26.315789473685456,0.12503999999999998,0.12466999999999998,0.12534999999999996,0.12435999999999998,0.12572
30-07-24,1722374340006,0.12498,0.12482,0.12498,0.12482,140519.00000000,206,30.864197530863493,0.12495666666666666,0.12459333333333333,0.1251833333333333,0.12436666666666667,0.12554666666666664
30-07-24,1722374400007,0.1248,0.12468,0.12483,0.12464,125469.00000000,194,28.089887640449845,0.12487666666666668,0.12444333333333335,0.12511333333333335,0.12420666666666667,0.1255466666666667
